feature,amplitude,percent_beyond_1_std,maximum,max_slope,median,median_absolute_deviation,percent_close_to_median,minimum,skew,std,period_fast,weighted_average,object_id,target,tflux_u,tflux_g,tflux_r,tflux_i,tflux_z,tflux_y
channel,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
0,880.533203,0.39204545454545453,660.626343,116805.16633432139,-89.4775235,294.58284749999996,0.3153409090909091,-1100.440063,-0.34804898026860615,393.5496376637749,342.12619420516864,-87.64468381264035,615,92,484.7,3286.7,3214.1,3039.7,2854.5,2837.0
0,14.753032000000001,0.4257142857142857,14.770886,1580.5769991552572,-0.8730325000000001,5.323983999999999,0.21714285714285714,-14.735178,0.014924676334140616,6.461892571480637,1061.0247499999969,-1.4452976516690812,713,88,108.7,117.7,119.9,149.6,147.9,150.5
0,33.234935,0.15454545454545454,47.310059,3949.8607871564122,0.4091715,1.658209,0.8727272727272727,-19.159811,3.1633913201995147,8.010074407674177,419.3740176817268,1.436776816100479,730,42,0.0,0.0,0.0,0.0,0.0,0.0
0,118.1448375,0.08262108262108261,220.795212,11188.06276730521,1.035895,2.2523090000000003,0.9088319088319088,-15.494463,4.95851930313933,27.518923510104234,728.4180887372062,6.090088384530098,745,90,0.0,0.0,0.0,0.0,0.0,0.0
0,80.071971,0.09659090909090909,143.600189,13330.938697952994,1.1412879999999999,1.964956,0.8835227272727273,-16.543753,4.387499089348694,20.02321929866832,426.6554199218754,5.799872832926981,1124,90,0.0,0.0,0.0,0.0,0.0,0.0
0,42.1866575,0.15454545454545454,71.678154,1600.1944045721068,0.2081085,1.50976,0.9757575757575757,-12.695161,9.083525977373547,4.955108005875654,70.48419184414692,0.29201276422805644,1227,65,2.3,11.6,31.6,240.0,632.4,1187.7
0,731.2849249999999,0.048295454545454544,1448.715698,57920.92855689196,0.3372985,1.715096,0.9630681818181818,-13.854152,6.251969254696659,167.08010547867465,345.6448971518991,4.370396061799684,1598,90,0.0,0.0,0.0,0.0,0.0,0.0
0,24.542787,0.4034090909090909,34.559826,2461.839910780025,0.623454,1.6889155,0.8210227272727273,-14.525748,2.4756971294226933,5.2656517497680895,311.1788817663821,0.543750366729907,1632,42,0.0,0.0,0.0,0.0,0.0,0.0
0,122.5981255,0.11764705882352941,231.828339,11280.913763402557,1.252908,2.68027,0.8392156862745098,-13.367912,2.828398304582291,47.91017503453164,248.44645348837022,15.904664506669315,1920,90,0.0,0.0,0.0,0.0,0.0,0.0
